,,,All ages ,Under 20 ,20-24 ,25-29 ,30-34 ,35-39 ,40 and over 
Wales ,,,34894,3256,7865,11471,8701,3041,560
Wales ,Betsi Cadwaladr University Local Health Board ,,7611,614,1640,2573,1964,698,122
,Betsi Cadwaladr University Local Health Board ,Isle of Anglesey ,799,60,181,295,184,68,11
,,Gwynedd ,1347,102,302,447,348,125,23
,,Conwy ,1221,113,252,386,318,131,21
,,Denbighshire ,1032,80,221,371,254,90,16
,,Flintshire ,1753,115,348,602,483,174,31
,,Wrexham ,1459,144,336,472,377,110,20
,Powys Teaching Local Health Board ,Powys ,1349,84,246,461,392,134,32
,Hywel Dda University Local Health Board ,,3810,326,804,1253,981,367,79
,Hywel Dda University Local Health Board ,Ceredigion ,609,39,114,190,163,87,16
,,Pembrokeshire ,1287,118,278,414,331,120,26
,,Carmarthenshire ,1914,169,412,649,487,160,37
,Abertawe Bro Morgannwg University Local Health Board ,,5868,601,1360,1965,1393,476,73
,Abertawe Bro Morgannwg University Local Health Board ,Swansea ,2595,241,567,869,633,251,34
,,Neath Port Talbot ,1641,177,415,536,362,127,24
,,Bridgend ,1632,183,378,560,398,98,15
,Cardiff and Vale University Local Health Board ,,5509,461,1151,1676,1501,603,117
,Cardiff and Vale University Local Health Board ,Vale of Glamorgan ,1475,112,291,472,415,158,27
,,Cardiff ,4034,349,860,1204,1086,445,90
,Cwm Taf University Local Health Board ,,3739,456,985,1217,799,242,40
,Cwm Taf University Local Health Board ,Rhondda Cynon Taf ,2941,348,775,956,639,194,29
,,Merthyr Tydfil ,798,108,210,261,160,48,11
,Aneurin Bevan University Local Health Board ,,7008,714,1679,2326,1671,521,97
,Aneurin Bevan University Local Health Board ,Caerphilly ,2213,266,573,729,470,146,29
,,Blaenau Gwent ,872,128,229,296,170,41,8
,,Torfaen ,1185,123,308,387,270,87,10
,,Monmouthshire ,934,45,145,301,311,112,20
,,Newport ,1804,152,424,613,450,135,30
