county_id,county_short_name,county_name,state_id,state_short_name,state_name,division_id,division_name,region_id,region_name
1001,Autauga,Autauga County,1,AL,Alabama,6,East South Central,3,South
1003,Baldwin,Baldwin County,1,AL,Alabama,6,East South Central,3,South
1005,Barbour,Barbour County,1,AL,Alabama,6,East South Central,3,South
1007,Bibb,Bibb County,1,AL,Alabama,6,East South Central,3,South
1009,Blount,Blount County,1,AL,Alabama,6,East South Central,3,South
1011,Bullock,Bullock County,1,AL,Alabama,6,East South Central,3,South
1013,Butler,Butler County,1,AL,Alabama,6,East South Central,3,South
1015,Calhoun,Calhoun County,1,AL,Alabama,6,East South Central,3,South
1017,Chambers,Chambers County,1,AL,Alabama,6,East South Central,3,South
1019,Cherokee,Cherokee County,1,AL,Alabama,6,East South Central,3,South
1021,Chilton,Chilton County,1,AL,Alabama,6,East South Central,3,South
1023,Choctaw,Choctaw County,1,AL,Alabama,6,East South Central,3,South
1025,Clarke,Clarke County,1,AL,Alabama,6,East South Central,3,South
1027,Clay,Clay County,1,AL,Alabama,6,East South Central,3,South
1029,Cleburne,Cleburne County,1,AL,Alabama,6,East South Central,3,South
1031,Coffee,Coffee County,1,AL,Alabama,6,East South Central,3,South
1033,Colbert,Colbert County,1,AL,Alabama,6,East South Central,3,South
1035,Conecuh,Conecuh County,1,AL,Alabama,6,East South Central,3,South
1037,Coosa,Coosa County,1,AL,Alabama,6,East South Central,3,South
1039,Covington,Covington County,1,AL,Alabama,6,East South Central,3,South
1041,Crenshaw,Crenshaw County,1,AL,Alabama,6,East South Central,3,South
1043,Cullman,Cullman County,1,AL,Alabama,6,East South Central,3,South
1045,Dale,Dale County,1,AL,Alabama,6,East South Central,3,South
1047,Dallas,Dallas County,1,AL,Alabama,6,East South Central,3,South
1049,DeKalb,DeKalb County,1,AL,Alabama,6,East South Central,3,South
1051,Elmore,Elmore County,1,AL,Alabama,6,East South Central,3,South
1053,Escambia,Escambia County,1,AL,Alabama,6,East South Central,3,South
1055,Etowah,Etowah County,1,AL,Alabama,6,East South Central,3,South
1057,Fayette,Fayette County,1,AL,Alabama,6,East South Central,3,South
