boy,form,age,geometry,arithmetic,algebra,g1,g2,g3,g4,ar1,ar2,ar3,alg1,alg2
1,VII,16.25,55,49,41,40,30,44,15,72,51,17,53,70
2,VII,15.41666667,48,93,79,18,30,44,9,77,88,40,62,86
3,VII,14.91666667,85,65,62,40,27,92,42,80,70,25,70,87
4,VII,14.75,132,59,62,48,40,127,78,60,84,24,53,88
5,VII,15.66666667,125,94,37,50,30,120,79,101,91,37,41,45
6,VII,17.25,68,52,48,20,40,60,30,65,87,20,35,57
7,VII,16,93,53,32,30,40,80,60,58,80,5,30,33
8,VII,14.25,58,60,41,30,30,60,40,56,93,20,42,27
9,VII,18.5,81,87,74,30,28,70,30,73,76,40,46,73
10,VII,15.33333333,80,96,66,38,39,69,30,104,108,35,58,75
11,VII,15.66666667,80,80,27,38,40,86,37,85,75,37,33,45
12,VII,15.58333333,64,91,57,40,40,63,18,86,105,40,53,69
13,VII,16.33333333,111,78,95,39,30,95,58,88,115,40,74,100
14,VII,14.91666667,54,59,41,20,30,60,30,77,65,12,32,46
15,VII,17.83333333,74,46,56,30,30,50,30,67,71,16,55,77
16,U VI,15.25,27,35,40,20,30,35,0,43,48,10,44,56
17,U VI,14.33333333,56,90,53,30,30,50,48,93,121,17,58,72
18,U VI,14,55,112,99,29,22,60,20,103,117,30,79,98
19,U VI,15.66666667,59,35,51,28,40,65,45,44,43,10,46,83
20,U VI,16.41666667,89,71,49,35,35,80,48,89,116,35,50,46
21,U VI,15.75,33,41,62,12,20,32,20,50,66,0,44,84
22,U VI,16.91666667,39,25,53,26,20,44,17,32,40,0,43,56
23,U VI,14.25,96,27,35,40,25,80,42,50,74,27,52,66
24,U VI,16.91666667,60,46,36,30,30,54,20,55,70,10,37,43
25,U VI,15.75,60,43,73,34,30,62,35,65,68,10,62,84
26,U VI,16.41666667,72,48,21,20,30,70,50,64,65,15,20,34
27,U VI,15.25,17,40,11,0,10,2,10,70,74,20,8,20
28,U VI,15.66666667,88,123,43,40,30,65,40,118,128,40,35,28
29,U VI,14.66666667,40,57,45,20,30,50,10,57,70,0,36,70
30,U VI,16.33333333,17,33,36,10,30,20,0,53,38,0,28,36
31,U VI,16.16666667,60,99,82,40,40,70,30,104,88,10,60,60
32,U VI,14.08333333,66,58,40,40,30,55,40,72,65,20,40,58
33,U VI,16.25,33,34,23,1,20,30,20,49,44,10,22,32
34,L VI,14,16,38,7,6,20,10,0,54,69,10,22,10
35,L VI,16,53,11,13,20,20,30,40,33,45,2,21,31
36,L VI,15.16666667,35,30,11,20,30,40,10,34,65,0,10,18
37,L VI,17.91666667,35,48,32,20,40,30,0,58,68,9,30,32
38,L VI,16.5,44,31,29,33,30,40,30,43,69,0,42,42
39,L VI,17.33333333,41,63,28,30,30,17,19,73,75,10,44,18
40,L VI,17.25,55,25,25,30,30,50,10,48,53,5,29,25
41,L VI,14.83333333,35,77,43,20,20,20,10,78,77,10,41,45
