sample,logLi,logAl,logTi,logV,logCr,logMn,logNi,logGe,logAs,logRb,logSr,logMo,logCs,logBa,logW,logU,logBe,logCo,logGa,logRu,logRh,logIr,logAu,logBi,logTe
1S1Zn1,4.361823927,1.444563269,0.300104592,0.916290732,-0.967584026,3.380994674,0.615185639,-0.562118918,1.957273908,3.335769576,6.432940093,1.595338988,0.329303747,3.744787086,-0.967584026,2.174751721,2.397895273,5.318119994,1.388791241,0.418710335,2.549445171,1.483874689,2.63188884,-0.385662481,1.809926773
1S2Zn1,4.239886868,1.141033005,0.148420005,0.104360015,-2.659260037,3.238678452,-0.46203546,-0.733969175,0.451075619,3.33220451,6.429719478,1.360976553,0.19062036,3.586292865,-0.84397007,1.987874348,2.249184316,4.852030264,0.587786665,0.104360015,1.635105659,0.891998039,2.617395833,-0.356674944,2.174751721
1S3Zn1,4.297285406,1.088561953,0.779324877,0.854415328,-1.139434283,2.360854001,-0.385662481,-0.597837001,1.776645831,3.206803244,6.315358002,1.264126727,0.2390169,3.686376324,-0.967584026,2.117459609,1.967112357,4.33073334,0.90016135,0.378436436,1.943048917,1.124929597,2.218115936,0.593326845,2.415913778
1S1Zn2,4.363098625,1.532556868,0.412109651,0.364643114,-2.040220829,4.100989105,0.631271777,-0.597837001,0.641853886,3.356897123,6.43775165,1.597365331,0.254642218,3.591817741,-1.049822124,2.118662255,2.272125886,6.251903883,1.348073148,0.553885113,2.406945108,1.235471471,3.46260601,-0.371063681,1.378766095
1S2Zn2,4.312140507,1.088561953,0.122217633,-0.562118918,-2.407945609,3.822098298,-0.84397007,-0.733969175,-0.510825624,3.353406718,6.408528791,1.391281903,0.139761942,3.387774361,-1.049822124,1.900613874,2.212660385,5.38907173,0.955511445,0.438254931,1.623340818,1.095273387,3.811097087,0.231111721,1.971299383
1S3Zn2,4.320151231,1.095273387,0.732367894,-0.653926467,-4.605170186,4.604169686,-0.371063681,-0.916290732,-1.237874356,3.238678452,6.309918278,1.088561953,-0.020202707,3.391147046,-1.171182982,1.717395054,1.202972304,4.744932128,1.406096988,0.609765572,1.902107526,1.294727168,2.299580584,-0.328504067,2.740840024
3S1Zn2,5.252273428,2.0255132,-0.248461359,2.397895273,0.207014169,-0.010050336,-2.040220829,0.2390169,3.62700405,2.312535424,0.783901544,3.144152279,-1.171182982,-1.771956842,1.472472057,1.071583616,1.022450928,2.721295428,4.14472077,1.975468951,-0.84397007,1.558144618,3.981549068,1.40854497,2.76000994
3S2Zn2,5.141663557,1.916922612,-0.713349888,1.675225653,-0.798507696,0.553885113,-2.995732274,0.357674444,3.523415014,2.162172939,1.205970807,2.533696814,-1.347073648,-1.237874356,1.085189268,0.832909123,1.735189118,2.091864062,3.906004933,0.148420005,0.039220713,-0.010050336,2.207174908,0.482426149,2.468099531
3S1Zn3,5.556828062,2.05284086,-0.713349888,0.717839793,-2.659260037,1.937301775,-2.995732274,1.264126727,3.828641396,1.994700313,0.797507196,2.206074193,-1.237874356,-1.560647748,0.824175443,2.63905733,1.17557333,1.771556762,5.476463552,1.16315081,1.30833282,0.548121409,2.174751721,1.00063188,2.867898902
3S1Zn3D,5.620400866,2.101692151,-0.94160854,0.727548607,-2.659260037,1.944480556,-3.218875825,1.313723668,3.881563798,2.008214032,0.806475866,2.23644529,-1.237874356,-1.660731207,0.862889955,2.617395833,2.138889,1.72455072,5.484796933,1.214912744,1.30833282,1.078409581,2.740840024,1.141033005,2.90690106
3S2Zn3,5.590986981,1.822935087,-0.755022584,0.029558802,-2.995732274,0.048790164,-3.506557897,1.150572028,3.594568775,2.0255132,1.477048724,2.341805806,-1.347073648,-1.171182982,0.943905899,1.780024213,2.200552367,1.761300262,5.370638028,-0.030459207,-0.967584026,0.815364813,2.501435952,0.625938431,2.740840024
9S1Zn1,4.186619838,2.165619238,-0.127833372,-0.116533816,-1.714798428,0.385262401,-0.693147181,-1.078809661,1.40854497,2.173614712,4.497584975,2.681021529,-0.274436846,0.717839793,0.708035793,-0.673344553,1.595338988,3.109060959,3.08190997,1.842135677,0.067658648,0.542324291,2.778819272,1.098612289,1.638996715
9S1Zn1D,4.359269648,2.57261223,0.482426149,1.050821625,-1.386294361,2.87356464,-0.494296322,-1.386294361,2.260720889,2.549445171,4.727387819,2.312535424,0.231111721,1.822935087,0.678033543,1.181727195,2.24495598,3.299533728,3.681351188,1.470175845,0.476234179,0.609765572,2.595254707,0.717839793,1.553925203
9S2Zn1,4.428433007,1.578978705,-0.891598119,0.867100488,-1.386294361,2.080690761,-1.609437912,-0.820980552,2.134166441,2.610069793,5.043425117,1.786746927,0.2390169,1.978239036,0.378436436,1.432700734,2.917770732,2.895911938,2.815408719,-0.210721031,0.364643114,0.924258902,2.256541154,-0.713349888,1.974081026
9S3Zn1,4.605170186,1.519513205,-0.494296322,0.598836501,-1.203972804,0.405465108,-1.714798428,-1.108662625,2.047692843,2.778819272,4.852030264,1.975468951,0.067658648,1.057790294,0.198850859,0.779324877,2.451005098,2.272125886,2.32238772,0.451075619,0.246860078,1.564440547,2.617395833,-0.634878272,1.979621206
9S1Zn2,4.439115602,1.591273942,-0.385662481,0.708035793,-1.078809661,2.397895273,-0.597837001,-0.314710745,2.254444718,2.406945108,5.087596335,1.591273942,0.457424847,2.05796251,0.139761942,1.490654376,0.712949808,3.401197382,1.876406943,1.061256502,1.481604541,1.646733697,3.363841595,-0.301105093,0.683096845
9S2Zn2,4.510859507,1.764730797,-0.776528789,0.765467842,-1.078809661,1.806648082,-1.771956842,-0.223143551,2.415913778,2.370243741,5.093750201,1.62924054,0.292669614,2.018895042,0.270027137,1.58514522,2.610069793,2.687847494,1.89761986,-0.356674944,0.173953307,0.722705983,2.263844265,-0.105360516,1.840549633
9S3Zn2,4.634728988,1.803358605,-0.446287103,0.920282753,-0.776528789,1.481604541,-1.714798428,-0.105360516,2.58021683,2.406945108,4.976733742,1.644805056,0.3074847,1.932969638,0.277631737,1.545432582,2.766319109,2.397895273,1.903598951,0.246860078,0.500775288,1.386294361,3.173878459,-0.430782916,1.93441577
9S1Zn3,4.379523504,1.388791241,-0.46203546,0.657520003,-1.347073648,1.776645831,-1.139434283,-0.15082289,2.255493485,2.442347035,4.955827058,1.722766598,0.506817602,1.506297154,0.285178942,1.508511994,2.076938411,2.862200881,1.631199404,1.376244025,0.959350221,1.391281903,2.032087845,-0.342490309,1.891604804
9S2Zn3,4.356708827,0.858661619,-0.994252273,0.392042088,-1.46967597,2.02287119,-1.660731207,-0.430782916,2.05796251,2.406945108,4.983606622,1.637053079,0.292669614,1.32972401,0.139761942,1.297463147,2.050270164,2.721295428,1.497388409,-0.105360516,0.21511138,1.036736885,2.660259537,-0.248461359,2.128231706
9S3Zn3,4.557029811,0.524728529,-0.798507696,0.173953307,-1.714798428,1.335001067,-1.771956842,-0.562118918,1.85629799,2.302585093,4.8978398,1.663926098,-0.040821995,1.131402111,0.086177696,0.854415328,2.360854001,2.17588744,1.101940079,0.542324291,0.3074847,2.098017927,3.850147602,-0.916290732,2.098017927
9S1Zn4,4.477336814,1.871802177,-0.597837001,0.871293366,-1.021651248,1.650579856,-0.867500568,-0.105360516,2.493205453,2.509599262,5.049856007,1.566530411,0.470003629,1.435084525,0.19062036,1.526056303,2.468099531,3.068052935,1.572773928,0.198850859,0.985816795,1.435084525,2.287471455,-1.078809661,0.932164081
9S1Zn4D,4.507557357,1.957273908,-0.248461359,0.867100488,-1.049822124,1.599387577,-0.755022584,-0.105360516,2.517696473,2.517696473,5.068904202,1.570697084,0.518793793,1.474763009,0.21511138,1.483874689,2.388762789,3.194583132,1.798404012,0.845868268,0.996948635,0.88376754,2.766319109,-0.891598119,1.229640551
9S2Zn4,4.423648309,1.202972304,-0.84397007,0.770108222,-1.108662625,1.30833282,-1.514127733,-0.162518929,2.397895273,2.415913778,5.075173815,1.5518088,0.39877612,1.599387577,0.182321557,1.383791231,3.04927304,2.708050201,1.562346305,-0.223143551,0.470003629,0.760805829,2.276241118,-0.328504067,2.151762203
9S3Zn4,4.584967479,0.717839793,-0.510825624,0.867100488,-1.171182982,1.153731588,-1.30933332,-0.072570693,2.459588842,2.424802726,5.087596335,1.572773928,0.425267735,1.695615609,0.231111721,1.528227857,1.442201993,2.48490665,1.58514522,0.148420005,0.476234179,1.673351238,3.04927304,-0.820980552,0.88376754
1D #1,6.609349243,0.482426149,0.518793793,-1.609437912,1.134622726,6.018593214,1.442201993,1.764730797,1.211940974,5.655991811,7.068172,1.60743591,4.432006567,5.105945474,-1.171182982,-4.605170186,6.224558429,6.23636959,2.694627181,2.839078464,2.667228207,3.363841595,3.822098298,2.210469804,3.903990834
1D #1D,6.561030666,0.652325186,0.553885113,-1.714798428,0.989541194,6.013715156,1.388791241,1.793424749,1.134622726,5.598421959,7.01301579,1.439835128,4.528289142,5.062595033,-1.386294361,-4.605170186,6.356107661,6.089044875,2.557227311,2.753660712,2.867898902,3.226843995,3.186352633,2.051556338,4.007333185
1D #3,6.588926478,0.91228271,-0.127833372,-2.659260037,-2.407945609,4.990432587,-1.427116356,1.00063188,2.124653885,5.552959585,6.909753282,0.989541194,4.504244267,5.036952602,-2.040220829,-4.605170186,4.844187086,3.784189634,2.084429083,0.97455964,2.104134154,1.742219024,4.890349128,0.500775288,3.284663565
SD6St,4.289088639,1.854734268,-1.609437912,1.050821625,-1.021651248,2.890371758,0.797507196,0.009950331,2.564949357,1.745715531,-1.021651248,1.483874689,-1.347073648,-0.994252273,0.587786665,1.45395301,2.406945108,4.165113633,5.241747015,1.611435915,-0.46203546,1.87946505,3.632309103,-0.415515444,1.95160817
SD6STD,4.289088639,1.8017098,-1.514127733,1.011600912,-1.021651248,2.895911938,0.765467842,0.019802627,2.549445171,1.738710248,-0.994252273,1.479329227,-1.347073648,-0.994252273,0.598836501,1.44926916,1.786746927,4.147885329,5.231108617,1.702928256,-0.287682072,1.957273908,3.437207819,-0.356674944,1.960094784
