date,demand,sademand
Jan-1965,25642,26565.57873
Feb-1965,22187,26718.7994
Mar-1965,24878,27504.3932
Apr-1965,22915,25414.5768
May-1965,26411,26012.96458
Jun-1965,26726,23572.79226
Jul-1965,31677,24517.23468
Aug-1965,31797,25416.24444
Sep-1965,27211,26051.33972
Oct-1965,25732,27564.18913
Nov-1965,25251,28986.85073
Dec-1965,30576,31588.63587
Jan-1966,28502,29528.59078
Feb-1966,24703,29748.70427
Mar-1966,27367,30256.15921
Apr-1966,26981,29924.09761
May-1966,30241,29785.24335
Jun-1966,34983,30855.60846
Jul-1966,34690,26849.22407
Aug-1966,38369,30669.43055
Sep-1966,30348,29054.64914
Oct-1966,27788,29766.58198
Nov-1966,26248,30131.35551
Dec-1966,30736,31753.93486
Jan-1967,30267,31357.16291
Feb-1967,26469,31875.4181
Mar-1967,28864,31911.19887
Apr-1967,27947,30995.46925
May-1967,31280,30808.58476
Jun-1967,33677,29703.69397
Jul-1967,41113,31820.4713
Aug-1967,42847,34248.82302
Sep-1967,34624,33148.41742
Oct-1967,29988,32123.22802
Nov-1967,29516,33882.85162
Dec-1967,33684,34799.56864
Jan-1968,33198,34393.73226
Feb-1968,27344,32929.14098
Mar-1968,29740,32879.67899
Apr-1968,32150,35656.93407
May-1968,35036,34507.97877
Jun-1968,40683,35883.10662
Jul-1968,44506,34446.57154
Aug-1968,41706,33336.78934
Sep-1968,35836,34308.76521
Oct-1968,32760,35092.60204
Nov-1968,31358,35997.37298
Dec-1968,36354,37557.99544
Jan-1969,36018,37315.30359
Feb-1969,33737,40627.94138
Mar-1969,33983,37570.61638
Apr-1969,33209,36831.45018
May-1969,37445,36880.67316
Jun-1969,37969,33489.31188
Jul-1969,48126,37248.3643
Aug-1969,47120,37664.35318
Sep-1969,40650,38917.60536
Oct-1969,35158,37661.34623
Nov-1969,33490,38444.79945
Dec-1969,37535,38778.10857
Jan-1970,36995,38327.49337
Feb-1970,32370,38981.72518
Mar-1970,35865,39651.30084
Apr-1970,37844,41972.03772
May-1970,41806,41175.94932
Jun-1970,44389,39151.86244
Jul-1970,52051,40286.21972
Aug-1970,48408,38693.88814
Sep-1970,41180,39425.01818
Oct-1970,38078,40789.25826
Nov-1970,35835,41136.73898
Dec-1970,40247,41579.92635
Jan-1971,41591,43089.03302
Feb-1971,36048,43410.97403
Mar-1971,40643,44933.71867
Apr-1971,37944,42082.94576
May-1971,39898,39296.70444
Jun-1971,45750,40352.28788
Jul-1971,55878,43248.2255
Aug-1971,56796,45398.65457
Sep-1971,47294,45278.45579
Oct-1971,42630,45665.37317
Nov-1971,40626,46636.56084
Dec-1971,45874,47393.285
Jan-1972,46686,48367.54576
Feb-1972,39883,48029.29087
Mar-1972,45023,49776.11927
Apr-1972,43492,48236.12368
May-1972,50548,49786.20021
Jun-1972,57572,50779.49547
Jul-1972,64770,50130.41923
Aug-1972,63960,51125.04307
Sep-1972,49220,47122.37481
Oct-1972,45234,48454.78513
Nov-1972,44572,51166.36612
Dec-1972,50371,52039.21957
Jan-1973,48813,50571.15648
Feb-1973,41448,49913.9495
Mar-1973,46005,50861.78991
Apr-1973,45738,50727.11821
May-1973,55852,55010.26459
Jun-1973,63236,55775.24102
Jul-1973,68432,52964.71899
Aug-1973,65706,52520.67042
Sep-1973,52300,50071.11342
Oct-1973,47647,51039.59736
Nov-1973,46354,53212.01057
Dec-1973,48862,50480.24353
Jan-1974,49433,51213.48776
Feb-1974,44832,53989.14746
Mar-1974,47281,52272.4984
Apr-1974,46947,52067.99638
May-1974,54880,54052.91342
Jun-1974,61276,54046.48726
Jul-1974,70623,54660.50019
Aug-1974,70200,56112.85215
Sep-1974,58008,55535.85368
Oct-1974,49866,53416.59626
Nov-1974,47469,54491.97328
Dec-1974,51840,53556.87087
Jan-1975,52769,54669.64448
Feb-1975,43706,52633.15665
Mar-1975,47580,52603.0641
Apr-1975,49249,54621.0994
May-1975,57798,56926.93677
Jun-1975,62674,55279.54734
Jul-1975,73069,56553.64525
Aug-1975,69258,55359.88482
Sep-1975,61568,58944.13597
Oct-1975,53013,56787.67131
Nov-1975,49330,56628.30567
Dec-1975,55617,57458.96001
Jan-1976,57264,59326.5463
Feb-1976,49691,59840.62113
Mar-1976,56580,62553.20233
Apr-1976,54413,60348.39046
May-1976,60255,59346.90777
Jun-1976,69302,61125.55748
Jul-1976,78522,60774.13585
Aug-1976,67322,53812.38508
Sep-1976,61650,59022.64134
Oct-1976,55168,59096.11323
Nov-1976,51795,59457.99903
Dec-1976,58200,60127.50549
Jan-1977,58837,60956.20293
Feb-1977,49743,59903.24238
Mar-1977,58511,64688.05976
Apr-1977,57134,63366.19816
May-1977,54654,53830.31943
Jun-1977,73759,65056.70824
Jul-1977,84697,65553.43705
Aug-1977,84106,67228.31258
Sep-1977,69128,66181.94892
Oct-1977,58099,62235.80849
Nov-1977,52432,60189.24231
Dec-1977,55717,57562.27188
Jan-1978,53987,55931.51465
Feb-1978,47623,57350.22238
Mar-1978,49698,54944.6633
Apr-1978,49869,55308.72924
May-1978,64618,63644.15378
Jun-1978,70848,62489.15611
Jul-1978,85185,65931.13729
Aug-1978,86687,69291.37913
Sep-1978,63671,60957.51171
Oct-1978,63772,68312.74168
Nov-1978,59619,68439.54908
Dec-1978,64297,66426.4299
Jan-1979,64692,67022.0895
Feb-1979,55035,66276.15834
Mar-1979,57809,63911.94898
Apr-1979,60132,66691.22113
May-1979,70040,68984.4398
Jun-1979,80504,71005.9144
Jul-1979,92052,71246.02982
Aug-1979,85733,68528.81985
Sep-1979,77901,74581.06705
Oct-1979,67213,71998.75034
Nov-1979,59309,68083.685
Dec-1979,64339,66469.82089
Jan-1980,67125,69542.72178
Feb-1980,62112,74798.66897
Mar-1980,66541,73565.7942
Apr-1980,66950,74252.93113
May-1980,70742,69675.86008
