date,ftse
Jan-1988,1790.8
Feb-1988,1768.8
Mar-1988,1742.5
Apr-1988,1802.2
May-1988,1784.4
Jun-1988,1857.6
Jul-1988,1853.6
Aug-1988,1753.6
Sep-1988,1826.5
Oct-1988,1852.4
Nov-1988,1792.4
Dec-1988,1793.1
Jan-1989,2052.1
Feb-1989,2002.4
Mar-1989,2075
Apr-1989,2118
May-1989,2114.4
Jun-1989,2151
Jul-1989,2297
Aug-1989,2387.9
Sep-1989,2299.4
Oct-1989,2142.6
Nov-1989,2276.8
Dec-1989,2422.7
Jan-1990,2337.3
Feb-1990,2255.4
Mar-1990,2247.9
Apr-1990,2103.4
May-1990,2345.1
Jun-1990,2374.6
Jul-1990,2326.2
Aug-1990,2162.8
Sep-1990,1990.2
Oct-1990,2050.3
Nov-1990,2149.4
Dec-1990,2143.5
Jan-1991,2170.3
Feb-1991,2380.9
Mar-1991,2456.5
Apr-1991,2486.2
May-1991,2499.5
Jun-1991,2414.8
Jul-1991,2588.8
Aug-1991,2645.7
Sep-1991,2621.7
Oct-1991,2566
Nov-1991,2420.2
Dec-1991,2493.1
Jan-1992,2571.2
Feb-1992,2562.1
Mar-1992,2440.1
Apr-1992,2654.1
May-1992,2707.6
Jun-1992,2521.2
Jul-1992,2399.6
Aug-1992,2312.6
Sep-1992,2553
Oct-1992,2658.3
Nov-1992,2778.8
Dec-1992,2846.5
Jan-1993,2807.2
Feb-1993,2868
Mar-1993,2878.7
Apr-1993,2813.1
May-1993,2840.7
Jun-1993,2900
Jul-1993,2926.5
Aug-1993,3100
Sep-1993,3037.5
Oct-1993,3171
Nov-1993,3166.9
Dec-1993,3418.4
Jan-1994,3491.8
Feb-1994,3328.1
Mar-1994,3086.4
Apr-1994,3125.3
May-1994,2970.5
Jun-1994,2919.2
Jul-1994,3082.6
Aug-1994,3251.3
Sep-1994,3026.3
Oct-1994,3097.4
Nov-1994,3081.4
Dec-1994,3065.5
Jan-1995,2991.6
Feb-1995,3009.3
Mar-1995,3137.9
Apr-1995,3216.7
May-1995,3319.4
Jun-1995,3314.6
Jul-1995,3463.3
Aug-1995,3477.8
Sep-1995,3508.2
Oct-1995,3529.1
Nov-1995,3664.3
Dec-1995,3689.3
Jan-1996,3759.3
Feb-1996,3727.6
Mar-1996,3699.7
Apr-1996,3817.9
May-1996,3747.8
Jun-1996,3711
Jul-1996,3703.2
Aug-1996,3867.6
Sep-1996,3953.7
Oct-1996,3979.1
Nov-1996,4058
Dec-1996,4118.5
Jan-1997,4275.8
Feb-1997,4308.3
Mar-1997,4312.9
Apr-1997,4436
May-1997,4621.3
Jun-1997,4604.6
Jul-1997,4907.5
Aug-1997,4817.5
Sep-1997,5244.2
Oct-1997,4842.3
Nov-1997,4831.8
Dec-1997,5135.5
Jan-1998,5458.5
Feb-1998,5767.3
Mar-1998,5932.2
Apr-1998,5928.3
May-1998,5870.7
Jun-1998,5832.5
Jul-1998,5837
Aug-1998,5249.4
Sep-1998,5064.4
Oct-1998,5438.4
Nov-1998,5743.9
Dec-1998,5882.6
Jan-1999,5896
Feb-1999,6175.1
Mar-1999,6295.3
Apr-1999,6552.2
May-1999,6226.2
Jun-1999,6318.5
Jul-1999,6231.9
Aug-1999,6246.4
Sep-1999,6029.8
Oct-1999,6255.7
Nov-1999,6597.2
Dec-1999,6930.2
Jan-2000,6268.5
Feb-2000,6232.6
Mar-2000,6540.2
Apr-2000,6327.4
May-2000,6359.3
Jun-2000,6312.7
Jul-2000,6365.3
Aug-2000,6672.7
Sep-2000,6294.2
Oct-2000,6438.4
Nov-2000,6142.2
Dec-2000,6222.5
Jan-2001,6297.5
Feb-2001,5917.9
Mar-2001,5633.7
Apr-2001,5966.9
May-2001,5796.1
Jun-2001,5642.5
Jul-2001,5529.1
Aug-2001,5345
Sep-2001,4903.4
Oct-2001,5039.7
Nov-2001,5203.6
Dec-2001,5217.4
Jan-2002,5164.8
Feb-2002,5101
Mar-2002,5271.8
Apr-2002,5165.6
May-2002,5085.1
Jun-2002,4656.4
Jul-2002,4246.2
Aug-2002,4227.3
Sep-2002,3721.8
Oct-2002,4039.7
Nov-2002,4169.4
Dec-2002,3940.4
Jan-2003,3567.4
Feb-2003,3655.6
Mar-2003,3613.3
Apr-2003,3926
May-2003,4048.1
Jun-2003,4031.2
Jul-2003,4157
Aug-2003,4161.1
Sep-2003,4091.3
Oct-2003,4287.6
Nov-2003,4342.6
Dec-2003,4476.9
Jan-2004,4390.7
Feb-2004,4492.2
Mar-2004,4385.7
Apr-2004,4489.7
May-2004,4430.7
Jun-2004,4464.1
Jul-2004,4413.1
Aug-2004,4459.3
Sep-2004,4570.8
Oct-2004,4624.2
Nov-2004,4703.2
Dec-2004,4814.3
Jan-2005,4852.3
